name,GW,was_home,position,goals_scored,assists,bonus,clean_sheets,saves,goals_conceded,yellow_cards,minutes,total_points
Aaron_Wan-Bissaka_122,31,True,2,0,3,14,8,0,29,5,2510,87
Aaron_Wan-Bissaka_122,32,False,2,0,4,15,9,0,29,5,2600,98
Aaron_Wan-Bissaka_122,33,True,2,0,4,15,9,0,31,5,2690,108
Aaron_Wan-Bissaka_122,34,False,2,0,4,15,10,0,31,6,2755,109
Aaron_Wan-Bissaka_122,35,True,2,0,4,15,10,0,33,7,2845,114
Aaron_Wan-Bissaka_122,36,False,2,0,4,15,11,0,33,8,2935,114
Aaron_Wan-Bissaka_122,37,True,2,0,4,15,11,0,33,8,2980,119
Aaron_Wan-Bissaka_122,38,False,2,0,4,16,12,0,33,8,3070,120
Abdoulaye_Doucouré_368,1,True,3,0,0,0,0,0,3,0,90,0
Abdoulaye_Doucouré_368,2,False,3,0,0,0,0,0,4,0,180,0
Abdoulaye_Doucouré_368,3,True,3,0,0,0,0,0,7,0,270,2
Abdoulaye_Doucouré_368,4,False,3,0,0,0,0,0,8,1,340,4
Abdoulaye_Doucouré_368,5,True,3,0,0,0,0,0,10,1,430,5
Abdoulaye_Doucouré_368,6,False,3,0,0,0,0,0,18,1,520,7
Abdoulaye_Doucouré_368,7,False,3,0,0,0,0,0,20,1,610,9
Abdoulaye_Doucouré_368,8,True,3,0,0,0,1,0,20,1,700,11
Abdoulaye_Doucouré_368,9,False,3,1,0,2,1,0,21,1,790,14
Abdoulaye_Doucouré_368,10,True,3,1,0,2,2,0,21,2,880,23
Abdoulaye_Doucouré_368,11,True,3,1,0,2,2,0,23,2,970,25
Abdoulaye_Doucouré_368,12,False,3,1,0,2,3,0,23,2,1060,27
Abdoulaye_Doucouré_368,13,True,3,1,0,2,3,0,26,2,1150,30
Abdoulaye_Doucouré_368,14,False,3,1,0,2,3,0,28,2,1240,32
Abdoulaye_Doucouré_368,15,False,3,1,0,2,3,0,30,3,1330,34
Abdoulaye_Doucouré_368,16,True,3,1,0,2,4,0,30,4,1407,35
Abdoulaye_Doucouré_368,17,False,3,1,0,2,4,0,31,4,1493,37
Abdoulaye_Doucouré_368,18,True,3,1,0,2,5,0,31,5,1561,39
Abdoulaye_Doucouré_368,20,True,3,1,1,2,6,0,31,5,1651,41
Abdoulaye_Doucouré_368,21,True,3,2,1,4,6,0,32,5,1741,47
Abdoulaye_Doucouré_368,22,False,3,3,2,7,7,0,32,5,1826,56
Abdoulaye_Doucouré_368,23,True,3,3,2,7,8,0,32,6,1916,70
Abdoulaye_Doucouré_368,24,False,3,3,2,7,8,0,34,7,2006,72
Abdoulaye_Doucouré_368,25,True,3,3,2,7,8,0,37,7,2096,73
Abdoulaye_Doucouré_368,26,False,3,4,2,9,8,0,38,7,2186,75
Abdoulaye_Doucouré_368,27,False,3,4,2,9,8,0,41,7,2265,84
Abdoulaye_Doucouré_368,28,True,3,4,3,9,9,0,41,7,2353,86
Abdoulaye_Doucouré_368,29,False,3,4,3,9,9,0,42,8,2443,92
Abdoulaye_Doucouré_368,30,True,3,4,3,9,10,0,42,8,2519,93
