name,GW,total_points
Adama_Traoré_417,36,2
Adama_Traoré_417,37,2
Adama_Traoré_417,38,1
Addji Keaninkin Marc-Israel_Guehi_545,7,0
Addji Keaninkin Marc-Israel_Guehi_545,8,0
Addji Keaninkin Marc-Israel_Guehi_545,9,0
Addji Keaninkin Marc-Israel_Guehi_545,10,0
Addji Keaninkin Marc-Israel_Guehi_545,11,0
Addji Keaninkin Marc-Israel_Guehi_545,12,0
Addji Keaninkin Marc-Israel_Guehi_545,13,0
Addji Keaninkin Marc-Israel_Guehi_545,14,0
Addji Keaninkin Marc-Israel_Guehi_545,15,0
Addji Keaninkin Marc-Israel_Guehi_545,16,0
Addji Keaninkin Marc-Israel_Guehi_545,17,0
Addji Keaninkin Marc-Israel_Guehi_545,18,0
Addji Keaninkin Marc-Israel_Guehi_545,19,0
Addji Keaninkin Marc-Israel_Guehi_545,20,0
Addji Keaninkin Marc-Israel_Guehi_545,21,0
Addji Keaninkin Marc-Israel_Guehi_545,22,0
Addji Keaninkin Marc-Israel_Guehi_545,23,0
Addji Keaninkin Marc-Israel_Guehi_545,24,0
Addji Keaninkin Marc-Israel_Guehi_545,25,0
Addji Keaninkin Marc-Israel_Guehi_545,26,0
Addji Keaninkin Marc-Israel_Guehi_545,27,0
Addji Keaninkin Marc-Israel_Guehi_545,28,0
Addji Keaninkin Marc-Israel_Guehi_545,29,0
Addji Keaninkin Marc-Israel_Guehi_545,30,0
Addji Keaninkin Marc-Israel_Guehi_545,31,0
Addji Keaninkin Marc-Israel_Guehi_545,32,0
Addji Keaninkin Marc-Israel_Guehi_545,33,0
Addji Keaninkin Marc-Israel_Guehi_545,34,0
Addji Keaninkin Marc-Israel_Guehi_545,35,0
Addji Keaninkin Marc-Israel_Guehi_545,36,0
Addji Keaninkin Marc-Israel_Guehi_545,37,0
Addji Keaninkin Marc-Israel_Guehi_545,38,0
Ademola_Lookman_155,1,0
Ademola_Lookman_155,2,0
Ademola_Lookman_155,3,0
Ademola_Lookman_155,4,0
Ademola_Lookman_155,5,0
Ademola_Lookman_155,6,0
Ademola_Lookman_155,7,0
Ademola_Lookman_155,8,0
Ademola_Lookman_155,9,0
Ademola_Lookman_155,10,0
Ademola_Lookman_155,11,0
Ademola_Lookman_155,12,0
Ademola_Lookman_155,13,0
Ademola_Lookman_155,14,0
Ademola_Lookman_155,15,0
Ademola_Lookman_155,16,0
Ademola_Lookman_155,17,0
Ademola_Lookman_155,18,0
Ademola_Lookman_155,19,0
Ademola_Lookman_155,20,0
Ademola_Lookman_155,21,0
Ademola_Lookman_155,22,0
Ademola_Lookman_155,23,0
Ademola_Lookman_155,24,0
Ademola_Lookman_155,25,0
Ademola_Lookman_155,26,0
Ademola_Lookman_155,27,0
Ademola_Lookman_155,28,0
Ademola_Lookman_155,29,0
Ademola_Lookman_155,30,0
Ademola_Lookman_155,31,0
Ademola_Lookman_155,32,0
Ademola_Lookman_155,33,0
Ademola_Lookman_155,34,0
Ademola_Lookman_155,35,0
Ademola_Lookman_155,36,0
Ademola_Lookman_155,37,0
Ademola_Lookman_155,38,0
Adrian_Mariappa_356,1,0
Adrian_Mariappa_356,2,0
Adrian_Mariappa_356,3,0
Adrian_Mariappa_356,4,0
Adrian_Mariappa_356,5,0
Adrian_Mariappa_356,6,-2
Adrian_Mariappa_356,7,0
Adrian_Mariappa_356,8,0
Adrian_Mariappa_356,9,0
Adrian_Mariappa_356,10,0
Adrian_Mariappa_356,11,1
Adrian_Mariappa_356,12,1
Adrian_Mariappa_356,13,1
Adrian_Mariappa_356,14,1
Adrian_Mariappa_356,15,1
Adrian_Mariappa_356,16,0
Adrian_Mariappa_356,17,1
Adrian_Mariappa_356,18,6
Adrian_Mariappa_356,19,2
Adrian_Mariappa_356,20,-2
Adrian_Mariappa_356,21,0
Adrian_Mariappa_356,22,7
Adrian_Mariappa_356,23,6
Adrian_Mariappa_356,24,1
Adrian_Mariappa_356,25,1
Adrian_Mariappa_356,26,-1
Adrian_Mariappa_356,27,0
Adrian_Mariappa_356,28,0
Adrian_Mariappa_356,29,0
Adrian_Mariappa_356,30,1
Adrian_Mariappa_356,31,0
Adrian_Mariappa_356,32,0
Adrian_Mariappa_356,33,0
Adrian_Mariappa_356,34,0
Adrian_Mariappa_356,35,0
Adrian_Mariappa_356,36,1
Adrian_Mariappa_356,37,-1
Adrian_Mariappa_356,38,1
Adrián_San Miguel del Castillo_526,1,1
Adrián_San Miguel del Castillo_526,2,3
Adrián_San Miguel del Castillo_526,3,2
Adrián_San Miguel del Castillo_526,4,6
Adrián_San Miguel del Castillo_526,5,2
Adrián_San Miguel del Castillo_526,6,2
Adrián_San Miguel del Castillo_526,7,5
Adrián_San Miguel del Castillo_526,8,2
Adrián_San Miguel del Castillo_526,9,0
Adrián_San Miguel del Castillo_526,10,0
Adrián_San Miguel del Castillo_526,11,0
Adrián_San Miguel del Castillo_526,12,0
Adrián_San Miguel del Castillo_526,13,0
Adrián_San Miguel del Castillo_526,14,1
Adrián_San Miguel del Castillo_526,15,1
Adrián_San Miguel del Castillo_526,16,0
Adrián_San Miguel del Castillo_526,17,0
Adrián_San Miguel del Castillo_526,19,0
Adrián_San Miguel del Castillo_526,20,0
Adrián_San Miguel del Castillo_526,21,0
Adrián_San Miguel del Castillo_526,22,0
Adrián_San Miguel del Castillo_526,23,0
Adrián_San Miguel del Castillo_526,24,0
Adrián_San Miguel del Castillo_526,25,0
Adrián_San Miguel del Castillo_526,26,0
Adrián_San Miguel del Castillo_526,27,0
Adrián_San Miguel del Castillo_526,28,0
Adrián_San Miguel del Castillo_526,29,2
Adrián_San Miguel del Castillo_526,30,0
Adrián_San Miguel del Castillo_526,31,0
Adrián_San Miguel del Castillo_526,32,0
Adrián_San Miguel del Castillo_526,33,0
Adrián_San Miguel del Castillo_526,34,0
Adrián_San Miguel del Castillo_526,35,0
Adrián_San Miguel del Castillo_526,36,0
Adrián_San Miguel del Castillo_526,37,0
Adrián_San Miguel del Castillo_526,38,0
Ahmed_El Mohamady_22,1,1
Ahmed_El Mohamady_22,2,4
Ahmed_El Mohamady_22,3,1
Ahmed_El Mohamady_22,4,0
Ahmed_El Mohamady_22,5,1
Ahmed_El Mohamady_22,6,0
Ahmed_El Mohamady_22,7,0
Ahmed_El Mohamady_22,8,0
Ahmed_El Mohamady_22,9,0
Ahmed_El Mohamady_22,10,0
