name,GW,total_points
Adam_Webster_493,17,2
Adam_Webster_493,18,2
Adam_Webster_493,19,10
Adam_Webster_493,21,2
Adam_Webster_493,22,2
Adam_Webster_493,23,1
Adam_Webster_493,24,1
Adam_Webster_493,25,1
Adam_Webster_493,27,7
Adam_Webster_493,28,2
Adam_Webster_493,29,6
Adam_Webster_493,30,2
Adam_Webster_493,31,1
Adam_Webster_493,33,6
Adam_Webster_493,34,1
Adam_Webster_493,35,0
Adam_Webster_493,36,2
Adam_Webster_493,37,5
Adam_Webster_493,38,2
Adama_Traoré_417,2,1
Adama_Traoré_417,3,1
Adama_Traoré_417,4,2
Adama_Traoré_417,5,1
Adama_Traoré_417,6,8
Adama_Traoré_417,7,3
Adama_Traoré_417,8,16
Adama_Traoré_417,9,2
Adama_Traoré_417,10,2
Adama_Traoré_417,11,2
Adama_Traoré_417,12,5
Adama_Traoré_417,13,5
Adama_Traoré_417,14,2
Adama_Traoré_417,15,3
Adama_Traoré_417,16,2
Adama_Traoré_417,17,10
Adama_Traoré_417,18,2
Adama_Traoré_417,19,13
Adama_Traoré_417,20,1
Adama_Traoré_417,21,2
Adama_Traoré_417,22,2
Adama_Traoré_417,23,10
Adama_Traoré_417,24,5
Adama_Traoré_417,25,3
Adama_Traoré_417,26,1
Adama_Traoré_417,27,1
Adama_Traoré_417,28,2
Adama_Traoré_417,29,1
Adama_Traoré_417,30,4
Adama_Traoré_417,31,6
Adama_Traoré_417,32,1
Adama_Traoré_417,33,2
Adama_Traoré_417,34,3
Adama_Traoré_417,35,1
Adama_Traoré_417,36,2
Adama_Traoré_417,37,2
Adama_Traoré_417,38,1
Adrian_Mariappa_356,6,-2
Adrian_Mariappa_356,11,1
Adrian_Mariappa_356,12,1
Adrian_Mariappa_356,13,1
Adrian_Mariappa_356,14,1
Adrian_Mariappa_356,15,1
Adrian_Mariappa_356,17,1
Adrian_Mariappa_356,18,6
Adrian_Mariappa_356,19,2
Adrian_Mariappa_356,20,-2
Adrian_Mariappa_356,22,7
Adrian_Mariappa_356,23,6
Adrian_Mariappa_356,24,1
Adrian_Mariappa_356,25,1
Adrian_Mariappa_356,26,-1
Adrian_Mariappa_356,30,1
Adrian_Mariappa_356,33,0
Adrian_Mariappa_356,36,1
Adrian_Mariappa_356,37,-1
Adrian_Mariappa_356,38,1
Adrián_San Miguel del Castillo_526,1,1
Adrián_San Miguel del Castillo_526,2,3
Adrián_San Miguel del Castillo_526,3,2
Adrián_San Miguel del Castillo_526,4,6
Adrián_San Miguel del Castillo_526,5,2
Adrián_San Miguel del Castillo_526,6,2
Adrián_San Miguel del Castillo_526,7,5
Adrián_San Miguel del Castillo_526,8,2
Adrián_San Miguel del Castillo_526,14,1
Adrián_San Miguel del Castillo_526,15,1
Adrián_San Miguel del Castillo_526,29,2
Ahmed_El Mohamady_22,1,1
Ahmed_El Mohamady_22,2,4
