name,GW,fixture,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Antonio_Rüdiger_104,37,364,0,0,15,0,0.7,104,5,0,1.1,10.4,90,10,0,0,0,0,46,0,50506,3.0,5.0,0,0,-267,1237,1504,59,0,0
Antonio_Rüdiger_104,38,373,0,0,24,1,1.0,104,0,0,2.3,20.0,90,20,0,0,0,0,47,0,51207,0.0,2.0,2,6,66,1693,1627,59,1,0
Anwar_El Ghazi_30,1,6,0,0,0,0,5.3,30,3,0,1.5,1.4,90,17,0,0,0,0,1,0,19086,1.0,3.0,8,2,0,0,0,55,0,0
Anwar_El Ghazi_30,2,12,0,0,3,0,11.1,30,2,0,5.5,0.4,74,3,0,0,0,0,2,0,25533,2.0,1.0,43,2,2182,5484,3302,55,1,0
Anwar_El Ghazi_30,3,21,0,0,20,0,0.5,30,0,1,11.2,37.0,13,8,0,0,0,0,3,0,22463,0.0,2.0,74,6,-3603,1821,5424,55,1,0
Anwar_El Ghazi_30,5,41,0,0,10,1,37.2,30,0,0,6.5,16.6,90,19,0,0,0,0,5,0,28322,0.0,0.0,11,3,-3493,2874,6367,55,1,0
Anwar_El Ghazi_30,6,51,1,0,21,0,30.1,30,3,0,7.5,35.6,85,1,0,0,0,0,6,0,26249,2.0,3.0,9,5,-2494,1044,3538,55,0,0
Anwar_El Ghazi_30,7,61,0,0,21,0,2.0,30,1,1,6.8,36.2,69,5,0,0,0,0,7,0,28923,2.0,2.0,30,7,1849,4499,2650,55,1,0
Anwar_El Ghazi_30,8,77,2,0,29,1,36.0,30,0,0,14.4,47.2,63,14,0,0,0,0,8,0,44853,5.0,1.0,61,9,14210,17035,2825,55,0,0
Anwar_El Ghazi_30,9,81,0,0,1,0,3.3,30,1,0,3.7,0.0,75,4,0,0,0,0,9,0,129566,1.0,2.0,36,2,76061,85376,9315,55,1,0
Anwar_El Ghazi_30,10,95,0,0,3,0,0.3,30,0,0,0.0,0.0,6,11,0,0,0,0,10,0,123243,0.0,3.0,0,1,-2302,13740,16042,55,0,0
Anwar_El Ghazi_30,11,102,0,0,15,0,26.2,30,2,0,6.6,23.0,90,10,0,0,0,0,11,0,108827,2.0,1.0,17,1,-15358,9683,25041,55,1,1
Anwar_El Ghazi_30,12,120,0,0,12,0,31.1,30,2,0,5.6,12.2,90,20,0,0,0,0,12,0,113096,1.0,2.0,13,2,2648,13985,11337,55,0,0
Anwar_El Ghazi_30,13,122,0,0,23,1,24.5,30,0,1,10.3,41.0,90,13,0,0,0,0,13,0,112246,0.0,2.0,37,8,-1953,12544,14497,55,1,0
Anwar_El Ghazi_30,14,135,1,0,15,0,14.0,30,0,0,3.3,19.0,17,12,0,0,0,0,14,0,112641,2.0,2.0,0,4,-185,9863,10048,55,0,0
Anwar_El Ghazi_30,16,151,0,0,4,0,31.3,30,4,0,7.2,4.0,90,9,0,0,0,0,16,0,80695,4.0,1.0,37,2,-19097,737,19834,55,1,0
Anwar_El Ghazi_30,17,168,0,0,8,0,30.8,30,2,0,4.6,7.4,79,15,0,0,0,0,17,0,82856,0.0,2.0,8,2,1023,8326,7303,55,0,0
Anwar_El Ghazi_30,18,171,0,0,1,0,28.9,30,3,0,7.1,6.8,67,16,0,0,0,0,18,0,91519,3.0,1.0,35,1,7436,12716,5280,55,1,1
Anwar_El Ghazi_30,19,181,0,0,8,1,5.2,30,0,0,1.9,7.4,90,14,0,0,0,0,19,0,92363,0.0,1.0,6,3,1112,9380,8268,55,1,0
Anwar_El Ghazi_30,20,199,0,0,1,0,5.1,30,2,0,3.5,1.4,45,18,0,0,0,0,20,0,92769,0.0,3.0,28,1,40,6582,6542,55,0,0
Anwar_El Ghazi_30,22,211,0,0,14,0,3.8,30,6,1,8.2,29.4,90,11,0,0,0,0,22,0,70448,6.0,1.0,49,6,-11160,1645,12805,55,1,1
Anwar_El Ghazi_30,23,222,0,0,4,0,6.8,30,1,0,1.8,3.6,90,4,0,0,0,0,23,0,72906,1.0,1.0,8,2,1693,7523,5830,55,0,0
Anwar_El Ghazi_30,24,231,0,0,5,0,42.8,30,1,0,5.5,3.8,90,18,0,0,0,0,24,0,72780,1.0,2.0,8,2,-285,5261,5546,55,1,0
Anwar_El Ghazi_30,25,241,0,0,3,0,24.7,30,2,0,3.3,3.8,57,3,0,0,0,0,25,0,70268,1.0,2.0,4,1,-2775,3277,6052,55,0,0
Anwar_El Ghazi_30,26,252,1,0,9,0,14.6,30,2,0,8.4,7.2,69,17,0,0,0,0,26,0,66412,3.0,2.0,62,5,-3981,1362,5343,55,1,0
Anwar_El Ghazi_30,27,269,0,0,5,0,5.6,30,1,0,1.1,3.2,27,16,0,0,0,0,27,0,66047,0.0,2.0,2,1,-709,2540,3249,55,0,0
Anwar_El Ghazi_30,29,285,0,0,5,0,0.4,30,2,0,0.4,3.2,27,9,0,0,0,0,29,0,57349,0.0,4.0,0,1,-1516,1317,2833,55,0,0
Anwar_El Ghazi_30,30,271,0,0,6,1,2.3,30,0,0,1.7,3.0,68,15,0,0,0,0,39,0,94136,0.0,0.0,12,3,33147,48826,15679,55,1,0
Anwar_El Ghazi_30,30,291,0,0,7,0,15.6,30,2,0,2.8,5.8,69,6,0,0,0,0,39,0,94136,2.0,1.0,7,2,33147,48826,15679,55,1,0
Anwar_El Ghazi_30,31,306,0,0,11,0,25.6,30,1,0,5.3,8.6,69,13,0,0,0,0,40,0,73414,1.0,1.0,19,2,-15667,1050,16717,55,0,0
Anwar_El Ghazi_30,32,312,0,0,1,0,0.8,30,0,0,0.0,0.0,8,20,0,0,0,0,41,0,68758,1.0,0.0,0,1,-6100,781,6881,54,1,0
Anwar_El Ghazi_30,33,324,0,0,8,0,5.4,30,1,0,3.7,10.6,73,10,0,0,0,0,42,0,62562,0.0,2.0,21,2,-6267,348,6615,53,0,0
Anwar_El Ghazi_30,34,332,0,0,4,0,5.3,30,3,0,0.8,1.2,57,12,0,0,0,0,43,0,60458,3.0,0.0,1,1,-2481,497,2978,53,1,0
Anwar_El Ghazi_30,35,341,0,0,2,0,0.0,30,0,0,0.2,0.0,2,7,0,0,0,0,44,0,59158,0.0,2.0,2,1,-1352,929,2281,53,1,0
Anwar_El Ghazi_30,36,355,0,0,-1,0,5.6,30,1,0,1.6,3.2,26,8,0,0,0,0,45,0,57370,1.0,1.0,7,1,-1720,341,2061,53,0,0
Anwar_El Ghazi_30,38,380,0,0,3,0,0.0,30,0,0,0.0,0.0,1,19,0,0,0,0,47,0,55317,1.0,1.0,0,1,-1153,441,1594,52,0,0
Armando_Broja_631,29,283,0,0,2,0,0.3,631,0,0,0.0,0.0,4,8,0,0,0,0,29,0,0,0.0,4.0,0,1,0,0,0,45,1,0
Arnaut_Danjuma Groeneveld_492,7,62,0,0,4,0,0.3,492,0,0,0.5,4.8,13,19,0,0,0,0,7,0,1581,2.0,2.0,0,1,-50,37,87,58,1,0
Arnaut_Danjuma Groeneveld_492,8,71,0,0,2,0,0.0,492,0,0,0.7,0.4,11,1,0,0,0,0,8,0,1695,0.0,1.0,7,1,-1,74,75,58,0,0
Arnaut_Danjuma Groeneveld_492,9,82,0,0,1,0,0.6,492,0,0,2.9,2.2,21,14,0,0,0,0,9,0,1807,0.0,0.0,26,1,13,73,60,58,1,0
Arnaut_Danjuma Groeneveld_492,10,99,0,0,1,1,13.1,492,0,0,4.2,7.4,60,18,0,0,0,0,10,0,1888,0.0,0.0,21,3,7,49,42,58,0,0
Arnaut_Danjuma Groeneveld_492,12,116,0,0,2,0,0.6,492,0,0,0.6,1.4,12,13,0,0,0,0,12,0,2069,1.0,2.0,4,1,-12,60,72,58,0,0
Arnaut_Danjuma Groeneveld_492,13,123,0,0,7,0,15.0,492,0,0,2.7,8.0,45,20,0,0,0,0,13,0,2184,2.0,1.0,4,1,-13,77,90,58,1,0
Arnaut_Danjuma Groeneveld_492,14,139,1,0,24,0,3.4,492,3,0,5.2,18.2,90,17,0,0,0,0,14,0,2205,2.0,3.0,30,5,-33,41,74,58,0,0
Arnaut_Danjuma Groeneveld_492,15,148,0,0,8,1,5.6,492,0,0,1.2,0.8,63,7,0,0,0,0,15,0,2300,0.0,1.0,6,3,48,88,40,58,0,0
Arnaut_Danjuma Groeneveld_492,16,152,0,0,6,0,1.2,492,3,0,2.5,2.2,90,10,0,0,0,0,16,0,2366,3.0,0.0,22,2,12,79,67,58,1,0
Arnaut_Danjuma Groeneveld_492,30,292,0,0,1,0,26.0,492,0,0,3.8,10.0,45,7,0,0,0,0,39,0,2105,2.0,0.0,2,1,56,149,93,58,1,0
Arnaut_Danjuma Groeneveld_492,31,310,0,0,0,0,1.4,492,0,0,0.1,0.0,24,20,0,0,0,0,40,0,2148,0.0,1.0,1,1,-6,23,29,58,0,0
Arnaut_Danjuma Groeneveld_492,32,313,0,0,3,0,12.8,492,3,0,2.3,1.6,61,13,0,0,0,0,41,0,2156,4.0,1.0,9,2,-17,10,27,58,1,0
Arnaut_Danjuma Groeneveld_492,33,325,0,0,-5,0,1.7,492,2,0,0.7,0.0,45,12,0,0,0,0,42,0,2182,2.0,5.0,7,1,-13,20,33,58,0,0
Arnaut_Danjuma Groeneveld_492,35,342,0,0,6,0,0.9,492,1,0,0.5,3.6,45,9,0,0,0,0,44,0,2216,1.0,4.0,0,1,-12,9,21,58,1,0
Arthur_Masuaku_378,2,13,0,0,15,0,2.8,378,1,0,2.0,16.8,90,4,0,0,0,0,2,0,23018,1.0,1.0,0,1,-2816,498,3314,45,0,1
Arthur_Masuaku_378,3,29,0,0,20,0,15.7,378,1,0,4.5,28.4,90,18,0,0,0,0,3,0,22505,3.0,1.0,1,2,-1380,762,2142,45,0,0
Arthur_Masuaku_378,4,40,1,3,49,1,27.0,378,0,0,7.9,50.4,90,14,0,0,0,0,4,0,23450,0.0,2.0,2,12,88,1930,1842,45,1,0
