name,GW,points,form
Adam_Masina_355,34,2,3.0
Adam_Masina_355,35,2,1.5
Adam_Masina_355,36,0,1.5
Adam_Masina_355,37,1,1.25
Adam_Masina_355,38,1,1.25
Adam_Smith_63,1,1,0.0
Adam_Smith_63,2,2,1.0
Adam_Smith_63,3,1,1.5
Adam_Smith_63,4,1,1.3333333333333333
Adam_Smith_63,9,5,0.0
Adam_Smith_63,10,6,1.25
Adam_Smith_63,11,12,2.75
Adam_Smith_63,12,1,5.75
Adam_Smith_63,13,1,6.0
Adam_Smith_63,15,2,3.5
Adam_Smith_63,22,0,0.0
Adam_Smith_63,23,1,0.0
Adam_Smith_63,24,2,0.25
Adam_Smith_63,25,2,0.75
Adam_Smith_63,26,1,1.25
Adam_Smith_63,27,0,1.5
Adam_Smith_63,28,0,1.25
Adam_Smith_63,29,1,0.75
Adam_Smith_63,30,0,0.5
Adam_Smith_63,31,2,0.25
Adam_Smith_63,32,0,0.75
Adam_Smith_63,33,0,0.75
Adam_Smith_63,34,6,0.5
Adam_Smith_63,38,2,1.5
Adam_Webster_493,4,0,0.0
Adam_Webster_493,5,2,0.0
Adam_Webster_493,6,8,0.5
Adam_Webster_493,7,0,2.5
Adam_Webster_493,8,6,2.5
Adam_Webster_493,9,7,4.0
Adam_Webster_493,10,-1,5.25
Adam_Webster_493,11,1,3.0
Adam_Webster_493,13,0,1.75
Adam_Webster_493,14,1,0.0
Adam_Webster_493,15,8,0.5
Adam_Webster_493,16,1,2.25
Adam_Webster_493,17,2,2.5
Adam_Webster_493,18,2,3.0
Adam_Webster_493,19,10,3.25
Adam_Webster_493,21,2,3.5
Adam_Webster_493,22,2,3.5
Adam_Webster_493,23,1,3.5
Adam_Webster_493,24,1,1.25
Adam_Webster_493,25,1,1.5
Adam_Webster_493,27,7,0.75
Adam_Webster_493,28,2,2.25
Adam_Webster_493,29,6,2.5
Adam_Webster_493,30,2,3.75
Adam_Webster_493,31,1,4.25
Adam_Webster_493,33,6,2.25
Adam_Webster_493,34,1,2.25
Adam_Webster_493,35,0,2.0
Adam_Webster_493,36,2,1.75
Adam_Webster_493,37,5,2.25
Adam_Webster_493,38,2,2.0
Adama_Traoré_417,2,1,0.0
Adama_Traoré_417,3,1,0.5
Adama_Traoré_417,4,2,0.6666666666666666
Adama_Traoré_417,5,1,1.0
Adama_Traoré_417,6,8,1.25
Adama_Traoré_417,7,3,3.0
Adama_Traoré_417,8,16,3.5
Adama_Traoré_417,9,2,7.0
Adama_Traoré_417,10,2,7.25
Adama_Traoré_417,11,2,5.75
Adama_Traoré_417,12,5,5.5
Adama_Traoré_417,13,5,2.75
Adama_Traoré_417,14,2,3.5
Adama_Traoré_417,15,3,3.5
Adama_Traoré_417,16,2,3.75
Adama_Traoré_417,17,10,3.0
Adama_Traoré_417,18,2,4.25
Adama_Traoré_417,19,13,4.25
Adama_Traoré_417,20,1,6.75
Adama_Traoré_417,21,2,6.5
Adama_Traoré_417,22,2,4.5
Adama_Traoré_417,23,10,4.5
Adama_Traoré_417,24,5,3.75
Adama_Traoré_417,25,3,4.75
Adama_Traoré_417,26,1,5.0
Adama_Traoré_417,27,1,4.75
Adama_Traoré_417,28,2,2.5
Adama_Traoré_417,29,1,1.75
Adama_Traoré_417,30,4,1.25
Adama_Traoré_417,31,6,2.0
Adama_Traoré_417,32,1,3.25
Adama_Traoré_417,33,2,3.0
Adama_Traoré_417,34,3,3.25
Adama_Traoré_417,35,1,3.0
Adama_Traoré_417,36,2,1.75
Adama_Traoré_417,37,2,2.0
Adama_Traoré_417,38,1,2.0
Adrian_Mariappa_356,6,-2,0.0
Adrian_Mariappa_356,11,1,0.0
Adrian_Mariappa_356,12,1,0.25
Adrian_Mariappa_356,13,1,0.5
Adrian_Mariappa_356,14,1,0.75
Adrian_Mariappa_356,15,1,1.0
Adrian_Mariappa_356,17,1,0.75
Adrian_Mariappa_356,18,6,0.75
Adrian_Mariappa_356,19,2,2.0
Adrian_Mariappa_356,20,-2,2.25
Adrian_Mariappa_356,22,7,1.5
Adrian_Mariappa_356,23,6,1.75
Adrian_Mariappa_356,24,1,2.75
Adrian_Mariappa_356,25,1,3.5
Adrian_Mariappa_356,26,-1,3.75
Adrian_Mariappa_356,30,1,-0.25
Adrian_Mariappa_356,33,0,0.25
Adrian_Mariappa_356,36,1,0.0
Adrian_Mariappa_356,37,-1,0.25
Adrian_Mariappa_356,38,1,0.0
Adrián_San Miguel del Castillo_526,1,1,0.0
Adrián_San Miguel del Castillo_526,2,3,1.0
Adrián_San Miguel del Castillo_526,3,2,2.0
Adrián_San Miguel del Castillo_526,4,6,2.0
Adrián_San Miguel del Castillo_526,5,2,3.0
Adrián_San Miguel del Castillo_526,6,2,3.25
Adrián_San Miguel del Castillo_526,7,5,3.0
Adrián_San Miguel del Castillo_526,8,2,3.75
Adrián_San Miguel del Castillo_526,14,1,0.0
Adrián_San Miguel del Castillo_526,15,1,0.25
Adrián_San Miguel del Castillo_526,29,2,0.0
Ahmed_El Mohamady_22,1,1,0.0
Ahmed_El Mohamady_22,2,4,1.0
Ahmed_El Mohamady_22,3,1,2.5
Ahmed_El Mohamady_22,5,1,1.5
Ahmed_El Mohamady_22,6,0,1.5
Ahmed_El Mohamady_22,11,0,0.0
Ahmed_El Mohamady_22,15,6,0.0
Ahmed_El Mohamady_22,16,0,1.5
Ahmed_El Mohamady_22,19,6,1.5
Ahmed_El Mohamady_22,20,1,1.5
Ahmed_El Mohamady_22,22,-1,1.75
Ahmed_El Mohamady_22,29,1,0.0
Ahmed_El Mohamady_22,30,1,0.25
Ahmed_El Mohamady_22,31,8,0.5
Ahmed_El Mohamady_22,32,1,2.5
Ahmed_El Mohamady_22,35,7,2.25
Ahmed_El Mohamady_22,36,1,2.0
Ahmed_El Mohamady_22,37,1,2.0
Ainsley_Maitland-Niles_4,1,12,0.0
Ainsley_Maitland-Niles_4,2,2,12.0
Ainsley_Maitland-Niles_4,3,1,7.0
Ainsley_Maitland-Niles_4,4,1,5.0
Ainsley_Maitland-Niles_4,5,4,4.0
Ainsley_Maitland-Niles_4,6,-3,2.0
Ainsley_Maitland-Niles_4,16,2,0.0
Ainsley_Maitland-Niles_4,17,1,0.5
Ainsley_Maitland-Niles_4,18,6,0.75
Ainsley_Maitland-Niles_4,19,1,2.25
Ainsley_Maitland-Niles_4,20,0,2.5
Ainsley_Maitland-Niles_4,21,6,2.0
Ainsley_Maitland-Niles_4,22,1,3.25
Ainsley_Maitland-Niles_4,23,2,2.0
Ainsley_Maitland-Niles_4,30,1,0.0
Ainsley_Maitland-Niles_4,31,1,0.25
Ainsley_Maitland-Niles_4,33,0,0.5
