name,GW,goals_scored,assists,bonus,clean_sheets,saves,yellow_cards,minutes,total_points
Aaron_Ramsdale_494,22,0,1,10,4,69,0,1890,77
Aaron_Ramsdale_494,23,0,1,10,4,72,0,1980,80
Aaron_Ramsdale_494,24,0,1,10,4,79,0,2070,84
Aaron_Ramsdale_494,25,0,1,10,4,83,0,2160,87
Aaron_Ramsdale_494,26,0,1,10,4,86,0,2250,89
Aaron_Ramsdale_494,27,0,1,10,4,93,0,2340,92
Aaron_Ramsdale_494,28,0,1,10,4,98,0,2430,94
Aaron_Ramsdale_494,29,0,1,10,4,102,0,2520,96
Aaron_Ramsdale_494,39,0,1,10,4,102,0,2610,97
Aaron_Ramsdale_494,40,0,1,10,4,103,0,2700,99
Aaron_Ramsdale_494,41,0,1,10,4,106,0,2790,100
Aaron_Ramsdale_494,42,0,1,10,4,112,0,2880,102
Aaron_Ramsdale_494,43,0,1,10,5,112,0,2970,108
Aaron_Ramsdale_494,44,0,1,10,5,116,0,3060,111
Aaron_Ramsdale_494,45,0,1,10,5,118,0,3150,112
Aaron_Ramsdale_494,46,0,1,13,5,124,0,3240,123
Aaron_Ramsdale_494,47,0,1,13,5,128,0,3330,126
Aaron_Wan-Bissaka_122,1,0,0,2,1,0,0,90,8
Aaron_Wan-Bissaka_122,2,0,0,2,1,0,1,180,9
Aaron_Wan-Bissaka_122,3,0,0,2,1,0,2,270,9
Aaron_Wan-Bissaka_122,4,0,0,2,1,0,2,360,11
Aaron_Wan-Bissaka_122,5,0,0,2,2,0,2,450,17
Aaron_Wan-Bissaka_122,6,0,0,2,2,0,2,540,18
Aaron_Wan-Bissaka_122,7,0,0,2,2,0,2,540,18
Aaron_Wan-Bissaka_122,8,0,0,2,2,0,2,540,18
Aaron_Wan-Bissaka_122,9,0,0,2,2,0,2,630,20
Aaron_Wan-Bissaka_122,10,0,0,2,2,0,3,720,21
Aaron_Wan-Bissaka_122,11,0,0,2,2,0,3,800,23
Aaron_Wan-Bissaka_122,12,0,0,2,2,0,3,890,25
Aaron_Wan-Bissaka_122,13,0,0,2,2,0,4,980,25
Aaron_Wan-Bissaka_122,14,0,0,2,2,0,4,1070,26
Aaron_Wan-Bissaka_122,15,0,0,2,2,0,4,1160,28
Aaron_Wan-Bissaka_122,16,0,0,3,2,0,4,1250,31
Aaron_Wan-Bissaka_122,17,0,0,5,2,0,4,1340,35
Aaron_Wan-Bissaka_122,18,0,0,5,2,0,4,1430,36
Aaron_Wan-Bissaka_122,19,0,1,6,2,0,4,1520,42
Aaron_Wan-Bissaka_122,20,0,1,6,2,0,4,1520,42
Aaron_Wan-Bissaka_122,21,0,1,6,2,0,4,1610,43
Aaron_Wan-Bissaka_122,22,0,1,6,3,0,4,1700,49
Aaron_Wan-Bissaka_122,23,0,1,6,3,0,4,1790,50
Aaron_Wan-Bissaka_122,24,0,1,6,3,0,4,1880,51
Aaron_Wan-Bissaka_122,25,0,1,9,4,0,4,1970,60
Aaron_Wan-Bissaka_122,26,0,2,11,5,0,5,2060,70
Aaron_Wan-Bissaka_122,27,0,2,11,6,0,5,2150,76
Aaron_Wan-Bissaka_122,28,0,2,11,6,0,5,2240,78
Aaron_Wan-Bissaka_122,29,0,2,12,7,0,5,2330,85
Aaron_Wan-Bissaka_122,39,0,2,12,7,0,5,2420,87
Aaron_Wan-Bissaka_122,40,0,3,14,8,0,5,2510,98
Aaron_Wan-Bissaka_122,41,0,4,15,9,0,5,2600,108
Aaron_Wan-Bissaka_122,42,0,4,15,9,0,5,2690,109
Aaron_Wan-Bissaka_122,43,0,4,15,10,0,6,2755,114
Aaron_Wan-Bissaka_122,44,0,4,15,10,0,7,2845,114
Aaron_Wan-Bissaka_122,45,0,4,15,11,0,8,2935,119
Aaron_Wan-Bissaka_122,46,0,4,15,11,0,8,2980,120
Aaron_Wan-Bissaka_122,47,0,4,16,12,0,8,3070,127
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,22,0,0,0,0,0,0,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,23,0,0,0,0,0,0,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,24,0,0,0,0,0,0,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,25,0,0,0,0,0,0,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,26,0,0,0,0,0,0,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,27,0,0,0,0,0,0,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,28,0,0,0,0,0,0,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,29,0,0,0,0,0,0,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,39,0,0,0,0,0,0,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,40,0,0,0,0,0,0,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,41,0,0,0,0,0,0,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,42,0,0,0,0,0,0,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,43,0,0,0,0,0,0,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,44,0,0,0,0,0,0,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,45,0,0,0,0,0,0,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,46,0,0,0,0,0,0,0,0
Abd-Al-Ali Morakinyo Olaposi_Koiki_596,47,0,0,0,0,0,0,0,0
Abdoulaye_Doucouré_368,1,0,0,0,0,0,0,90,0
Abdoulaye_Doucouré_368,2,0,0,0,0,0,0,180,2
Abdoulaye_Doucouré_368,3,0,0,0,0,0,0,270,4
Abdoulaye_Doucouré_368,4,0,0,0,0,0,1,340,5
Abdoulaye_Doucouré_368,5,0,0,0,0,0,1,430,7
Abdoulaye_Doucouré_368,6,0,0,0,0,0,1,520,9
Abdoulaye_Doucouré_368,7,0,0,0,0,0,1,610,11
Abdoulaye_Doucouré_368,8,0,0,0,1,0,1,700,14
Abdoulaye_Doucouré_368,9,1,0,2,1,0,1,790,23
Abdoulaye_Doucouré_368,10,1,0,2,2,0,2,880,25
Abdoulaye_Doucouré_368,11,1,0,2,2,0,2,970,27
Abdoulaye_Doucouré_368,12,1,0,2,3,0,2,1060,30
Abdoulaye_Doucouré_368,13,1,0,2,3,0,2,1150,32
Abdoulaye_Doucouré_368,14,1,0,2,3,0,2,1240,34
Abdoulaye_Doucouré_368,15,1,0,2,3,0,3,1330,35
Abdoulaye_Doucouré_368,16,1,0,2,4,0,4,1407,37
Abdoulaye_Doucouré_368,17,1,0,2,4,0,4,1493,39
Abdoulaye_Doucouré_368,18,1,0,2,5,0,5,1561,41
Abdoulaye_Doucouré_368,19,1,0,2,5,0,5,1561,41
Abdoulaye_Doucouré_368,20,1,1,2,6,0,5,1651,47
Abdoulaye_Doucouré_368,21,2,1,4,6,0,5,1741,56
Abdoulaye_Doucouré_368,22,3,2,7,7,0,5,1826,70
Abdoulaye_Doucouré_368,23,3,2,7,8,0,6,1916,72
Abdoulaye_Doucouré_368,24,3,2,7,8,0,7,2006,73
Abdoulaye_Doucouré_368,25,3,2,7,8,0,7,2096,75
Abdoulaye_Doucouré_368,26,4,2,9,8,0,7,2186,84
Abdoulaye_Doucouré_368,27,4,2,9,8,0,7,2265,86
Abdoulaye_Doucouré_368,28,4,3,9,9,0,7,2353,92
Abdoulaye_Doucouré_368,29,4,3,9,9,0,8,2443,93
Abdoulaye_Doucouré_368,39,4,3,9,10,0,8,2519,96
Abdoulaye_Doucouré_368,40,4,3,9,10,0,8,2564,97
Abdoulaye_Doucouré_368,41,4,3,9,10,0,9,2654,98
Abdoulaye_Doucouré_368,42,4,3,9,10,0,9,2744,100
Abdoulaye_Doucouré_368,43,4,3,9,10,0,9,2834,102
Abdoulaye_Doucouré_368,44,4,3,9,10,0,9,2924,104
Abdoulaye_Doucouré_368,45,4,4,9,10,0,9,2995,109
Abdoulaye_Doucouré_368,46,4,4,9,10,0,9,3076,111
Abdoulaye_Doucouré_368,47,4,4,9,10,0,9,3156,113
Adalberto_Peñaranda_648,41,0,0,0,0,0,0,0,0
Adalberto_Peñaranda_648,42,0,0,0,0,0,0,0,0
Adalberto_Peñaranda_648,43,0,0,0,0,0,0,0,0
Adalberto_Peñaranda_648,44,0,0,0,0,0,0,0,0
Adalberto_Peñaranda_648,45,0,0,0,0,0,0,0,0
Adalberto_Peñaranda_648,46,0,0,0,0,0,0,0,0
Adalberto_Peñaranda_648,47,0,0,0,0,0,0,0,0
Adam_Idah_538,5,0,0,0,0,0,0,0,0
Adam_Idah_538,6,0,0,0,0,0,0,0,0
Adam_Idah_538,7,0,0,0,0,0,0,0,0
Adam_Idah_538,8,0,0,0,0,0,0,0,0
Adam_Idah_538,9,0,0,0,0,0,0,0,0
Adam_Idah_538,10,0,0,0,0,0,0,0,0
Adam_Idah_538,11,0,0,0,0,0,0,0,0
Adam_Idah_538,12,0,0,0,0,0,0,0,0
Adam_Idah_538,13,0,0,0,0,0,0,0,0
Adam_Idah_538,14,0,0,0,0,0,0,0,0
Adam_Idah_538,15,0,0,0,0,0,0,0,0
Adam_Idah_538,16,0,0,0,0,0,0,0,0
Adam_Idah_538,17,0,0,0,0,0,0,0,0
Adam_Idah_538,18,0,0,0,0,0,0,0,0
Adam_Idah_538,19,0,0,0,0,0,0,0,0
Adam_Idah_538,20,0,0,0,0,0,0,0,0
Adam_Idah_538,21,0,0,0,0,0,0,1,1
Adam_Idah_538,22,0,0,0,0,0,0,65,3
Adam_Idah_538,23,0,0,0,0,0,0,65,3
Adam_Idah_538,24,0,0,0,0,0,0,65,3
Adam_Idah_538,25,0,0,0,0,0,0,65,3
Adam_Idah_538,26,0,0,0,0,0,0,65,3
