name,GW,points,form
Adama_Traoré_500,25,1,0.5
Adama_Traoré_500,26,4,0.5
Adama_Traoré_500,27,1,1.25
Adama_Traoré_500,29,3,1.5
Adama_Traoré_500,30,1,2.0
Adama_Traoré_500,32,2,1.0
Adama_Traoré_500,34,1,0.75
Adama_Traoré_500,35,1,0.75
Adama_Traoré_500,35,1,1.0
Adama_Traoré_500,38,1,0.75
Ademola_Lookman_170,4,1,0.0
Ademola_Lookman_170,5,1,0.25
Ademola_Lookman_170,9,4,0.25
Ademola_Lookman_170,10,1,1.0
Ademola_Lookman_170,11,1,1.25
Ademola_Lookman_170,12,1,1.5
Ademola_Lookman_170,13,1,1.75
Ademola_Lookman_170,14,1,1.0
Ademola_Lookman_170,15,2,1.0
Ademola_Lookman_170,16,1,1.25
Ademola_Lookman_170,17,1,1.25
Ademola_Lookman_170,22,6,0.0
Ademola_Lookman_170,23,2,1.5
Ademola_Lookman_170,25,1,2.0
Ademola_Lookman_170,28,1,0.25
Ademola_Lookman_170,30,1,0.25
Ademola_Lookman_170,33,1,0.25
Ademola_Lookman_170,34,1,0.5
Ademola_Lookman_170,36,1,0.5
Ademola_Lookman_170,37,1,0.75
Ademola_Lookman_170,38,4,0.75
Adrian_Mariappa_382,4,1,0.0
Adrian_Mariappa_382,8,1,0.25
Adrian_Mariappa_382,9,6,0.25
Adrian_Mariappa_382,10,6,1.75
Adrian_Mariappa_382,11,2,3.25
Adrian_Mariappa_382,12,2,3.75
Adrian_Mariappa_382,13,1,4.0
Adrian_Mariappa_382,14,1,2.75
Adrian_Mariappa_382,16,1,1.0
Adrian_Mariappa_382,18,1,0.5
Adrian_Mariappa_382,19,1,0.5
Adrian_Mariappa_382,20,2,0.75
Adrian_Mariappa_382,21,1,1.0
Adrian_Mariappa_382,22,2,1.25
Adrian_Mariappa_382,23,8,1.5
Adrian_Mariappa_382,24,0,3.25
Adrian_Mariappa_382,25,6,2.75
Adrian_Mariappa_382,26,6,4.0
Adrian_Mariappa_382,27,2,5.0
Adrian_Mariappa_382,28,0,3.5
Adrian_Mariappa_382,29,1,3.5
Adrian_Mariappa_382,32,1,0.25
Adrian_Mariappa_382,35,2,0.25
Adrian_Mariappa_382,36,1,0.75
Adrian_Mariappa_382,37,1,0.75
Adrian_Mariappa_382,38,1,1.0
Adrien Sebastian_Perruchet Silva_231,1,2,0.0
Adrien Sebastian_Perruchet Silva_231,2,1,2.0
Ainsley_Maitland-Niles_20,1,1,0.0
Ainsley_Maitland-Niles_20,17,1,0.0
Ainsley_Maitland-Niles_20,18,2,0.25
Ainsley_Maitland-Niles_20,19,1,0.75
Ainsley_Maitland-Niles_20,20,8,1.0
Ainsley_Maitland-Niles_20,21,2,3.0
Ainsley_Maitland-Niles_20,22,2,3.25
Ainsley_Maitland-Niles_20,23,1,3.25
Ainsley_Maitland-Niles_20,26,6,0.75
Ainsley_Maitland-Niles_20,30,3,1.5
Ainsley_Maitland-Niles_20,32,3,0.75
