element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
82263,65,61,100,1429,4,4,7,18,0,0,0,4,0,0,11,395,411.8,413.4,420.0,124.3
102380,60,59,63,1710,2,0,5,24,1,0,0,3,0,0,5,351,389.4,93.3,194.0,67.7
41328,60,61,130,3229,2,6,8,53,0,0,0,1,0,0,16,700,905.2,708.7,438.0,205.4
109533,55,54,19,1022,0,0,1,21,0,0,0,3,0,0,0,181,207.8,298.7,225.0,73.2
135363,50,48,34,1751,0,0,3,33,0,0,0,5,0,0,0,325,353.6,70.9,96.0,52.1
105700,45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
44346,70,67,68,988,8,1,6,16,0,0,0,1,0,0,5,253,316.2,144.8,598.0,105.4
109745,55,54,90,2970,0,0,8,47,0,0,0,0,0,55,0,507,503.6,0.0,0.0,50.2
20310,50,48,13,450,0,0,1,7,0,0,0,0,0,10,0,74,90.2,0.0,0.0,9.0
47431,70,73,168,2595,9,9,10,35,0,0,0,4,0,0,26,698,834.8,1177.7,930.0,294.6
49579,70,68,32,659,1,2,2,12,0,0,0,1,0,0,1,127,161.4,227.1,349.0,73.8
126187,65,59,12,203,0,1,1,3,0,0,0,0,0,0,0,37,30.8,30.2,33.0,9.2
209046,60,51,53,849,1,5,2,14,0,0,0,1,0,0,3,197,235.2,341.4,325.0,89.9
88894,60,56,61,1095,1,5,5,14,0,0,0,0,0,0,5,208,266.0,344.3,373.0,98.2
85955,50,49,92,2376,4,3,6,40,0,0,0,10,0,0,9,535,600.0,422.4,158.0,118.4
116594,50,50,57,1730,3,0,3,25,0,0,0,4,0,0,2,294,422.8,424.5,214.0,106.3
199598,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
176413,75,74,127,1717,9,8,6,28,0,0,0,0,0,0,8,379,556.2,426.0,1059.0,204.2
91651,55,53,68,2065,1,3,4,37,0,0,0,8,0,0,6,461,497.0,458.5,186.0,114.0
103192,50,47,62,2343,0,0,7,37,1,0,0,6,0,0,2,432,518.0,40.1,162.0,71.7
173879,70,73,153,2206,15,6,7,34,1,0,0,2,0,0,20,461,659.6,283.2,1301.0,223.3
94245,70,66,28,224,1,2,0,8,0,0,0,0,0,0,1,59,61.8,42.9,185.0,28.3
167767,55,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
184341,60,60,137,2865,7,6,9,44,0,0,0,3,0,0,11,510,641.2,814.0,974.0,242.8
225796,50,49,61,1510,0,2,5,23,0,0,0,1,0,0,5,373,343.6,428.8,143.0,91.8
194794,45,42,48,1291,1,0,4,18,0,0,0,3,0,0,7,271,335.4,68.6,79.0,48.5
243568,45,41,9,191,0,0,1,3,0,0,0,0,0,0,0,41,31.4,55.3,5.0,9.1
209036,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
223332,45,45,1,19,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.2,9.0,1.0
440323,45,45,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0
450529,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
74230,55,56,109,2507,3,2,8,38,1,0,0,0,0,0,12,523,531.2,516.0,285.0,133.4
49413,50,49,48,1582,1,1,3,23,0,0,0,5,0,0,4,260,384.0,27.7,121.0,53.3
40784,50,50,11,929,0,0,0,21,0,0,0,1,1,0,0,148,179.2,15.9,6.0,20.2
55494,45,43,77,2380,0,1,7,36,0,0,0,4,0,0,8,392,427.0,117.0,49.0,59.5
